ticker,name,short_name
TCM,Thanh Cong Textile Garment Investment Trading Joint Stock Company,Thanh Cong Textile Garment
TDM,Thu Dau Mot Water Joint Stock Company,Thu Dau Mot Water
TDP,Thuan Duc Joint Stock Company,Thuan Duc Company
THD,Thaiholdings Joint Stock Company,Thaiholdings Company
TLG,Thien Long Group Corporation,Thien Long Group
TMP,Thac Mo Hydropower Joint Stock Company,Thac Mo Hydropower
TMS,Transimex Corporation,Transimex
TNG,TNG Investment And Trading Joint Stock Company,TNG Investment And Trading
TNH,TNH Hospital Group Joint Stock Company,TNH Hospital Group
TPB,Tien Phong Commercial Joint Stock Bank,TPBank
TRA,Traphaco Joint Stock Company,Traphaco
TV2,Power Engineering Consulting Joint Stock Company 2,Power Engineering Consulting 2
TVS,Thien Viet Securities Joint-Stock Company,Thien Viet Securities
VC3,Nam MeKong Group Joint Stock Company,Nam MeKong Group
VCB,Joint Stock Commercial Bank For Foreign Trade Of Vietnam,Vietcombank
VCF,VinaCafé Bien Hoa Joint Stock Company,VinaCafé Bien Hoa 
VCG,Viet Nam Construction And Import - Export Joint Stock Corporation,Vinaconex Group
VCI,Vietcap Securities Joint Stock Company,Vietcap Securities
VCS,VICOSTONE Joint Stock Company,VICOSTONE
VDS,Viet Dragon Securities Corporation,Viet Dragon Securities
VFG,Vietnam Fumigation Joint Stock Company,Vietnam Fumigation
VFS,Viet First Securities Corporation,Viet First Securities
VGC,Viglacera Corporation - JSC,Viglacera Corporation
VHC,Vinh Hoan Corporation,Vinh Hoan Corp.
VHM,Vinhomes Joint Stock Company,Vinhomes
VIB,Viet Nam International Commercial Joint Stock Bank,VIBBank
VIC,VinGroup Joint Stock Company,VinGroup
VIF,Viet Nam Forestry Corporation Joint Stock Company,VietNam Forestry
VIX,VIX Securities Joint Stock Company,VIX Securities
VJC,VietJet Aviation Joint Stock Company,Vietjet Air
VND,VNDIRECT Securities Corporation,VNDIRECT
VNM,Vietnam Dairy Products Joint Stock Company,Vinamilk
VNR,Viet Nam National Reinsurance Corporation,Vietnam Reinsurance
VOS,Vietnam Ocean Shipping Joint Stock Company,Vietnam Ocean Shipping
VPB,Vietnam Prosperity Joint Stock Commercial Bank,VPBank
VPD,Vietnam Power Development Joint Stock Company,EVN Development
VPI,Van Phu Real Estate Joint Stock Company,Van Phu - Invest
VRE,Vincom Retail Joint Stock Company,Vincom Retail
VSC,Viet Nam Container Shipping Joint Stock Company,Vietnam Container Shipping
VSH,Vinh Son - Song Hinh Hydropower Joint Stock Company,Vinh Son - Song Hinh Hydropower
VTP,Viettel Post Joint Stock Corporation,Viettel Post
YEG,Yeah1 Group Corporation,Yeah1 Group
